Sample,a1,a2,a3,a4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
mock,257329,169668,79560,47859,0,0,0,0,0,0,0,0,0,0,0,0,49,39,12,12,12,10
1,17,0,0,0,42,17,61802,0,0,1956,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,20941,43997,51031,0,7636,12171,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,26,26,22621,17845,0,50054,0,0,2417,0,0,0,0,0,0,0,0,0
4,0,0,0,0,36076,0,116718,0,0,9490,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,22,65969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,21,36072,0,0,26845,4644,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,34416,0,126000,0,24517,16639,0,0,0,0,0,0,0,0,0,0,0,0
8,9,7,4,4,43,17,0,12,18099,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,39009,50,64766,0,0,54089,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,29,37275,44153,0,0,10791,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,38660,16689,41995,51,0,34527,31388,17960,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,217,81,145052,51,32,2177,53,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,39,62409,0,0,16812,0,0,0,0,0,0,0,0,0,0,0,0
14,0,23,0,0,23136,0,71566,0,0,1919,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,3128,0,3412,0,0,151260,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,40996,0,0,1540,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,16980,23369,0,0,50995,32191,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,19307,98698,0,10863,29452,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,21384,18966,0,0,24375,16187,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,5,5994,4813,0,0,876,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,102218,28873,0,24342,14847,23049,65259,0,0,0,0,0,0,0,0,0,0,0
22,0,13,0,9,13041,7361,0,4367,0,4981,7168,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,43531,85891,0,15748,16605,22672,0,47302,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,42358,41127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,55241,1369,639,11854,10275,10124,55453,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,190272,9756,0,15947,85960,74217,22497,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,116880,109320,0,33889,5770,1423,10571,5913,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,414,63,24052,23,31,783,12,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,181768,1573,1358,4727,12113,16820,10241,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,163373,7885,2355,5301,23508,16659,4901,2113,0,0,90,0,0,0,0,0,0,0
31,0,0,0,0,16909,57617,0,4283,4875,1838,10001,46859,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,124557,124177,0,31624,10821,25670,30716,56416,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,109746,50375,19052,22322,16961,54081,13528,1809,0,0,183,0,0,0,0,0,0,0
34,0,0,0,0,97362,4748,2236,3464,9048,44518,14077,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,48,39,17,10,21,14,16,14,1,0,0,0,0,0,0,0,0,0
36,0,0,0,0,30567,76399,0,25587,5140,24211,1014,681,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,13,3,1,2,2,7,0,1,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,24694,29601,31367,2298,5676,21811,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,5993,15527,0,2491,0,470,0,1340,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,353768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,266,26,45,32540,0,14604,29,22,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,428866,24732,0,15949,16274,5771,5472,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,190656,44887,0,55283,70695,32806,17238,6464,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,100711,12324,0,14111,48532,10597,6418,1839,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,33497,47205,50608,0,20439,8990,0,19432,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,146291,154287,0,22459,11284,15226,61250,17447,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,28,25138,39480,4825,17248,2319,0,2768,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,58728,17144,0,25366,32452,4565,5394,3496,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,19195,5599,0,451,161379,12149,45371,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,7558,3150,0,3316,21367,4133,3156,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,9723,26,43376,0,0,0,46803,0,0,10471,1644,0,0,0,0,0,0,0
52,0,0,0,0,74647,6013,0,48701,143191,3014,2916,2543,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,24,35,13,10,15,7,2,9,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,8203,2408,1232,18,3310,7868,586,6,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,199621,7284,956,34380,5393,1576,9429,8489,0,0,0,370,0,0,0,0,0,0
56,0,0,0,0,72142,46182,0,18204,8108,14131,12491,8043,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,212719,15751,6755,18545,26427,46014,27950,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,43,32,153,12,45,2,120,1,0,0,6,0,0,0,0,0,0,0
59,0,0,0,0,97691,14014,0,64381,18842,21426,14193,6078,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,37504,41050,22,0,0,3985,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,18112,16986,3022,4324,6470,3694,5178,5854,0,0,161,0,0,0,0,0,0,0
62,0,0,0,0,31,28,7,6,8,24,3,3,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,147199,39042,2774,31910,9382,45480,37394,10515,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,205623,29412,4483,54123,29720,11495,41710,19327,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,4935,60361,9476,0,0,13681,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,39927,119751,0,26508,42129,13575,0,0,0,0,0,0,0,0,0,0,0,0
67,1,4,2,0,32,31,17,2,13,7,3,3,1,0,0,0,0,0,0,0,0,0
68,0,0,0,0,3,3946,4,2,1,93,2,2,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,26,24959,0,29370,0,12964,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,39,83335,0,0,26366,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,35,15,13,4,4,13,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,21731,84271,35117,0,55120,18232,0,0,11361,0,0,0,0,0,0,0,0,0
73,0,0,0,0,11,11,15696,0,4,0,0,0,0,0,532,0,0,0,0,0,0,0
74,0,0,0,0,14,2,6,2,5,1102,1,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,39,107932,8747,26877,22125,8192,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,42,8,21,22,34,11,4,3,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,128829,7452,32729,50521,0,3479,0,4510,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,40706,19762,39539,14447,40109,15819,0,5409,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,80816,35346,22311,27685,0,5506,10474,14634,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,79298,75705,11175,20389,6776,13385,0,18029,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,78928,3569,3993,0,14986,4223,6010,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,21026,99823,30991,11697,16549,31734,13580,0,22471,0,0,0,0,0,0,0,0,0
83,0,0,0,0,54790,97267,0,39852,0,2951,14700,5206,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,3090,3995,6,4683,0,0,0,2406,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,73,31790,64533,31491,31,5310,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,20,40,15,1,16,12,2,5,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,188055,70766,4488,47416,11107,14332,40126,23257,0,0,0,0,0,0,0,0,0,0
88,0,0,52,0,106442,58973,0,45892,0,4107,0,14036,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,43103,194688,82,47536,12554,24203,7252,51342,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,31899,13,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,25,5,4,1,8,7,1,0,0,0,1,0,0,0,0,0,0,0
92,29,0,0,0,80839,19404,1834,11884,0,219,5551,13024,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,22627,7473,10540,17961,0,12871,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,29,814,3311,857,5,30,1407,855,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,49254,132667,0,78588,0,543,307,11361,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,13939,77642,0,5754,0,4306,0,13546,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,17,8,16,29,20,3,3,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,11484,10,9824,0,0,0,8307,0,0,940,524,0,0,0,0,0,0,0
99,0,0,0,0,38245,0,205536,4929,50393,0,140262,0,0,0,5816,0,0,0,0,0,0,0
100,0,0,0,0,19,8,14,21,15,1,2,3,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,12549,0,29670,0,0,8670,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,255343,98158,0,24338,21524,11516,73580,10940,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,20067,103853,0,12471,2939,0,0,31905,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,59114,66179,0,4924,23872,8174,0,6167,0,0,0,0,0,0,0,0,0
105,0,0,0,0,6413,16722,15828,3405,20254,12902,24154,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,20,15942,25691,0,0,8280,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,314444,19265,0,18332,9627,5940,4439,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,8050,6,4,11,10,2315,0,5614,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,46204,22,0,12,11,2647,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,67,235,29233,63,32,133,13,25,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,8683,8217,39228,0,33033,11939,4920,0,27617,0,0,0,0,0,0,0,0,0
112,0,0,0,0,17,24,17,10,12,16,5,8,2,1,1,0,0,0,0,0,0,0
113,0,0,0,0,31624,45627,0,0,18373,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,22971,26502,36731,30463,76318,0,33539,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,67753,0,0,614,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,45,0,33897,0,0,6170,13,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,15,0,17079,23098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,28,20,57,7,10,7024,0,2,2,0,0,0,0,0,0,0,0,0
119,0,0,0,0,54,33,13,16,10,16621,0,10,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,30,20,9335,11,3,5255,0,6,4,0,0,0,0,0,0,0,0,0
121,0,0,0,0,2715,8,17660,0,3518,1640,0,0,3364,0,0,0,0,0,0,0,0,0
122,0,0,0,0,57752,196376,0,10910,25510,27932,15046,21085,1943,0,0,0,0,0,0,0,0,0
123,0,0,0,0,26857,2583,24114,0,0,13536,0,0,18219,0,0,0,0,0,0,0,0,0
124,0,0,0,0,35,9244,25769,0,0,35422,7424,0,0,0,0,0,0,0,0,0,0,0
